"last_name","frequency"
"Soicher",202
"Schlegelmilch",202
"Lubachevsky",202
"Gihr",202
"Kornyak",202
"Thummel",202
"Schapire",202
"Yurek",202
"Biran",202
"Pews",202
"Karnin",202
"Kalorkoti",201
"Taneja",201
"Wynblatt",201
"Perez",201
"Morrow",201
"Krybus",201
"Bahl",201
"Stanfel",201
"Schusler",201
"Rouquie",201
"Erdi",201
"Clouatre",201
"McConalogue",201
"Bernardeschi",201
"Kavanagh",201
"Rusterholz",201
"Genther",201
"Mukaidono",201
"Albarhamtoshy",201
"Cooke",201
"Brodie",201
"Pelc",201
"Lindenbaum",200
"Maraist",200
"Pfau",200
"Gulik",200
"Pocchiola",200
"Lamma",200
"Itzigehl",200
"McClurg",200
"Kaelbling",200
"Norsworthy",200
"Otillio",200
"Taubenfeld",200
"Snedden",200
"Sgarro",200
"Shumilov",200
"Rosch",200
"Hammerschmidt",200
"Bugrara",200
"Dredge",200
"Hiroyama",200
"Nannarelli",200
"Schreiter",200
"Heystek",200
"Gimbel",200
"Iwayama",200
"Fargier",200
"Hoppenstand",200
"Imataki",200
"Beetstra",200
"Radivojevic",200
"Auyong",200
"Speek",200
"Mitzlaff",200
"Domenig",200
"Merks",199
"Sridhar",199
"Michaels",199
"Speckmann",199
"Slobodova",199
"Karner",199
"Skafidas",199
"Mawatari",199
"Kawashima",199
"Warwick",199
"Muchinsky",199
"Hitomi",199
"Hofman",199
"Munawer",199
"Tiemann",199
"Maierhofer",199
"Rassart",199
"Hettesheimer",199
"Brookner",199
"Servieres",199
"Fortenbacher",199
"Zaumen",199
"Curless",199
"Akaboshi",199
"Neimat",199
"Gammage",199
"Picco",198
"Parveen",198
"Vernadat",198
"Chinin",198
"Khamsi",198
"Schiper",198
"Katiyar",198
"Stanger",198
"Lalonde",198
"Ghazalie",198
"Matzen",198
"Bednarek",198
"Hiyoshi",198
"Piveteau",198
"Vigier",198
"Poupard",198
"Pashtan",198
"McFarlin",198
"Landherr",198
"Zallocco",198
"Bhattacharjee",198
"Ranta",197
"Rajaraman",197
"Avouris",197
"Ranum",197
"Mikschl",197
"Suomi",197
"Viele",197
"Erdmenger",197
"Ciolek",197
"Antonakopoulos",197
"Srimani",197
"Miara",197
"Oppitz",197
"Jiang",197
"Braccini",197
"Weisert",197
"Luca",197
"Baby",197
"Kampfer",197
"Szilard",197
"Merel",197
"Nishimukai",197
"Spelt",197
"Gornas",197
"Jonsson",197
"Karcich",197
"Ohori",197
"Schmiedel",197
"Pelz",197
"Deville",197
"Guting",197
"Weedman",197
"Boyle",197
"Granlund",197
"Servi",196
"Quadeer",196
"Sadowski",196
"Rosenbaum",196
"Schaap",196
"Borstler",196
"Papadias",196
"Schach",196
"Monarch",196
"Chepyzhov",196
"Hofstetter",196
"Syang",196
"Gajiwala",196
"Sichman",196
"Hartvigsen",196
"Conia",196
"Meriste",196
"Simkin",196
"Heuser",196
"Kakkar",196
"Merey",196
"Brender",196
"Leaver",196
"Masand",196
"Llado",196
"Antonisse",196
"Setia",196
"Swan",196
"Gustavson",196
"Grospietsch",196
"Carrere",196
"Michaeli",196
"Bouloucos",195
"Rosin",195
"Birta",195
"Kuhnemann",195
"Hardjono",195
"Ermel",195
"Daescu",195
"Gronowski",195
"Camurati",195
"Kalloufi",195
"Engberts",195
"Cools",195
"Manders",195
"Serna",195
"Conde",195
"Mellouli",195
"Ouhyoung",195
"Rikino",195
"Luft",195
"Munke",195
"Papsdorf",195
"Muntz",195
"Keustermans",195
"Swift",195
"Zumaque",195
"Vilarrasa",195
"Kumaresan",195
"Marrakchi",195
"Rindone",195
"Picel",195
"Alameldin",195
"Matheson",195
"Wrigley",195
"Langford",195
"Segond",195
"Brobst",194
"Unno",194
"Fujisaki",194
"Frolund",194
"Haumacher",194
"Stentiford",194
"Constantine",194
"Kuszyk",194
"Remmele",194
"Melski",194
"Peltason",194
"Schaar",194
"Schwaller",194
"Tagansky",194
"Shanbhogue",194
"Vickson",194
"Docker",194
"Schaad",194
"Kobara",194
"Nanard",194
"Salvesen",194
"Birge",194
"Iivonen",194
"Hofting",194
"Basagni",194
"Erez",194
"Kusakabe",194
"Hiraishi",194
"Irland",194
"Juneja",194
"Bernatsky",193
"Cochrane",193
"Wursthorn",193
"Chvatal",193
"Alblas",193
"Stassinopoulos",193
"Rosis",193
"Thebaut",193
"Hertweck",193
"Melton",193
"Christ",193
"Camarinopoulos",193
"Crelier",193
"Junet",193
"Sifakis",193
"Colorni",193
"Serre",193
"Worfolk",193
"Morrin",193
"Linnainmaa",193
"Radhakrishnan",193
"Sundgren",193
"Candan",193
"Gist",193
"Melichar",193
"Butner",193
"Kleiser",193
"Jakobus",193
"Heyers",192
"Eiter",192
"Heuter",192
"Randi",192
"Luby",192
"Thimonier",192
"Ertl",192
"Tomescu",192
"Senzako",192
"Eickenmeyer",192
"Ducloy",192
"Wroclawski",192
"Apsitis",192
"Hutton",192
"Kemmerer",192
"Dulin",192
"Baer",192
"Woycyznski",192
"Maliniak",192
"Zongker",192
"Pehl",192
"Simmen",192
"Speel",192
"Remmers",192
"Fontan",192
"Wossner",192
"Bahk",192
"Parascandalo",192
"Menhoudj",192
"Barbanera",192
"Baaz",192
"Kisuki",192
"Rosiles",192
"Cherinka",192
"Rajala",192
"Vecchio",191
"Plesums",191
"Salinas",191
"Pusterhofer",191
"Bach",191
"Fairtlough",191
"Gomatam",191
"Byoun",191
"Roisin",191
"Noriega",191
"Miake",191
"Weiland",191
"Peak",191
"Sidou",191
"Krohm",191
"Trystram",191
"Haddadi",191
"Kaminger",191
"Bahr",191
"Khalid",191
"Khalil",191
"Furedi",191
"Bodoff",191
"Brandsma",191
"Vecchi",191
"Selvestrel",191
"Larfeldt",191
"Hoogerwoord",191
"Ghelli",191
"Rothenberg",191
"Anick",191
"Kushner",191
"Hasham",191
"Marquardt",191
"Plessier",191
"Bruckman",191
"Parfitt",191
"Azumi",191
"Kilgore",191
"Kambil",191
"Thiran",191
"Peron",191
"Mapelli",191
"Diderrich",190
"Strandh",190
"Jervis",190
"Czap",190
"Suri",190
"Anger",190
"Merkl",190
"Haraldson",190
"Lorin",190
"Ashish",190
"Steenbeek",190
"Itzfeldt",190
"Baezner",190
"Anandan",190
"Reeken",190
"Vingron",190
"Munch",190
"Keohane",190
"Leslie",190
"Moffat",190
"Peyn",190
"Seghrouchni",190
"Hanratty",190
"Cardazo",190
"Underwood",190
"Conte",190
"Riesenhuber",190
"Swiss",190
"Hellwagner",190
"Emiris",190
"Callaway",190
"Liesche",190
"Staylopatis",190
"Suppi",190
"Ranft",190
"Lindqvist",190
"Klassen",190
"Jullig",190
"Birsak",190
"Birnbaum",190
"Goodrum",190
"Ramaiah",190
"Salverda",190
"Madeira",190
"Kohling",190
"Perfilyeva",189
"Ellozy",189
"Bala",189
"Petersohn",189
"Francisci",189
"Laventhal",189
"Litecky",189
"Dulay",189
"Jahnichen",189
"Leuchs",189
"Perly",189
"Billawala",189
"Lanzelotte",189
"Rousseau",189
"Picht",189
"Manderick",189
"Horswill",189
"Maquelin",189
"Farrar",189
"Zaccaria",189
"Backhouse",189
"Huttel",189
"Orsini",189
"Budinsky",189
"Valette",189
"Millington",189
"Kriebel",189
"Gargeya",189
"Boreale",189
"Hanabata",189
"Plump",189
"Highland",189
"Uehara",189
"Spinelli",189
"Shackel",189
"Bonifati",189
"Acton",189
"Parhami",189
"Lorys",189
"Chleq",189
"Smailagic",189
"Baar",189
"Siochi",189
"Pargas",189
"Rahimi",189
"Fiebach",189
"Bellmore",189
"Scharstein",189
"Ferretti",189
"Marshall",189
"Gils",189
"Molenkamp",189
"Bultermann",189
"Przulj",189
"Makrucki",188
"Bressoud",188
"Mitina",188
"Rissland",188
"Ressouche",188
"Zirintsis",188
"Delgrossi",188
"Besselaar",188
"Tyugu",188
"Baek",188
"Delgrande",188
"Narwekar",188
"Reutenauer",188
"Bolotov",188
"Tchuente",188
"Perry",188
"Demos",188
"Sudkamp",188
"Waymire",188
"Puppo",188
"Bazzichi",188
"Jansen",188
"Impagliazzo",188
"Yoshizawa",188
"Oberman",188
"Denti",188
"Kamble",188
"Decleir",188
"Penz",188
"Luan",188
"Begiun",188
"Stroustrup",188
"Majewski",188
"Katzenelson",188
"Murtha",188
"Kawashimo",188
"Garnick",188
"Joslin",188
"Heering",188
"Nyanchama",187
"Vanwelkenhuysen",187
"Buescher",187
"Kaiser",187
"Felcyn",187
"Muhling",187
"Milicic",187
"Godskesen",187
"Belinskaya",187
"Garigliano",187
"Kusalik",187
"Danley",187
"Bierman",187
"Eugenio",187
"Famili",187
"Demian",187
"Yeung",187
"Awdeh",187
"Eiron",187
"Strehl",187
"Versino",187
"Hinsberger",187
"Velasco",187
"Preusig",187
"Billingsley",187
"Benzmuller",187
"Pavlopoulou",187
"Zeidenstein",187
"Kornatzky",187
"Xiaoshan",187
"Beznosov",187
"Shihab",187
"Lenart",187
"Isard",187
"Bratten",187
"Leivant",187
"Bojadziev",187
"Hiltgen",187
"Rodham",187
"Lipner",187
"Siegrist",187
"Chachaty",187
"Bridgland",187
"Crooks",187
"Middleton",187
"Goldhammer",186
"Liedekerke",186
"Iacovou",186
"Bain",186
"Benantar",186
"Meszaros",186
"Peir",186
"Pulkowski",186
"Kavvadias",186
"Sethi",186
"Vesel",186
"Danecki",186
"Erbe",186
"Hedayat",186
"Mitchem",186
"Rosen",186
"Koshino",186
"Gyimothy",186
"Walstra",186
"Facello",186
"Takkinen",186
"Giveon",186
"Cannard",186
"Lundstrom",186
"Silva",186
"Merli",186
"Kranzdorf",186
"McDermid",186
"Krzyzanowski",186
"Poulakidas",186
"Ratnakar",186
"Talmor",186
"Gulak",186
"Rijckaert",186
"Berendt",186
"Fraisse",185
"Kropp",185
"Muhlberg",185
"Petereit",185
"Brendel",185
"Openshaw",185
"Paciorek",185
"Walston",185
"Lally",185
"Schieder",185
"Narahara",185
"Sooriamurthi",185
"Nastansky",185
"Plavsic",185
"Kakkad",185
"Orlowski",185
"Kitai",185
"Zucker",185
"Lorch",185
"Barvinok",185
"Veevers",185
"Brattka",185
"Chandrasekhar",185
"DasSarma",185
"Dusink",185
"Gerteisen",185
"Rosay",185
"Rahier",185
"Erde",185
"Terekhov",185
"Riefers",185
"Pollacia",185
"Braunschweig",185
"Reghbati",185
"Gruenwald",185
"Gurbaxani",185
"Willoner",185
"Crouzet",185
"Cappelli",185
"Valtorta",185
"Tsukuda",185
"Borovoy",185
"Schwartzburd",185
"Ranai",185
"Krichel",185
"Danlos",185
"Marrevee",185
"Ghalwash",185
"Decaestecker",185
"Holburn",184
"Kobuchi",184
"Jeansoulin",184
"Lorcy",184
"Narlikar",184
"Brodal",184
"Conti",184
"Gien",184
"Stamatiou",184
"Asrin",184
"Babu",184
"Rosca",184
"Heiserman",184
"Codenie",184
"Kaltofen",184
"Ozeki",184
"Karunanithi",184
"Koblitz",184
"Isaac",184
"Dratva",184
"Masaki",184
"Denna",184
"Rodier",184
"Schade",184
"Feldmann",184
"Harllee",184
"Schlumberger",184
"Furudate",184
"Heemskerk",184
"Usery",184
"Weedon",184
"Welham",184
"Compeau",184
"Kusakari",184
"Hambrick",184
"Honglei",184
"Montemayor",184
"Esposito",184
"Dichev",184
"Chaudhury",184
"Massonet",184
"Ibel",184
"Panwar",184
"Gill",184
"Litvinov",184
"Szmurlo",184
"Schiettecatte",184
"Crabtree",184
"Pietrzykowski",183
"Paludetto",183
"Sankaranarayanan",183
"Koyama",183
"Molberg",183
"Lovengreen",183
"Fadgyas",183
"Cappelletti",183
"Randt",183
"Cmelik",183
"Pollock",183
"Raney",183
"Businaro",183
"Stavenow",183
"Rothe",183
"Cheshire",183
"Oxenboll",183
"Bottner",183
"Zolotykh",183
"Bellone",183
"Krone",183
"Munoz",183
"Menhardt",183
"Wegerle",183
"Waterhouse",183
"Birdsall",183
"Terlouw",183
"Passino",183
"Olano",183
"Straney",183
"Rodite",183
"Perl",183
"Koshiba",183
"Rettelbach",183
"Stenning",183
"Klerer",183
"Peot",183
"Haldar",183
"Mansanne",183
"Luff",183
"Waeselynck",183
"Peac",183
"Dehkordi",183
"Hooghiemstra",183
"Escriba",183
"Lichtman",183
"Henders",183
"Debuse",183
"Alpay",183
"Stasinski",183
"Naudin",183
"Schaft",183
"Veeraraghavan",183
"Vasanthakumar",183
"Hofmeyr",183
"Reistad",183
"Ushiama",182
"Poehlman",182
"Varman",182
"England",182
"Renear",182
"Grandbois",182
"Spieker",182
"Busillo",182
"Baez",182
"Kavraki",182
"Ariola",182
"Suermann",182
"Peng",182
"Besancenot",182
"Einsfeld",182
"Percebois",182
"Matzat",182
"Rohrbach",182
"Verhaegen",182
"Eterovic",182
"Poujol",182
"Zlotek",182
"Vuskovic",182
"Luck",182
"Basawa",182
"Gluchowski",182
"Uhrik",182
"Kroll",182
"Msuda",182
"Trelles",182
"Back",182
"Claffy",182
"Guenter",182
"Ratzlaff",182
"Auria",182
"Raczkowsky",182
"Naumovich",182
"Azadmanesh",182
"Koblick",182
"Baak",182
"Krogh",182
"Talmon",182
"Lortz",182
"Speer",182
"Anily",182
"Buchter",182
"Jumpertz",182
"Pettit",182
"Bale",182
"Setlzner",182
"Murillo",182
"Uludag",182
"Lammel",182
"Birke",182
"Lichtner",181
"Ranon",181
"Savasere",181
"Zyda",181
"Cyne",181
"Fujisawa",181
"Bashian",181
"Smeets",181
"Ossenbruggen",181
"Schwabacher",181
"Huxford",181
"Spataro",181
"Harbusch",181
"Gilg",181
"Mahmud",181
"Markovitch",181
"Comellas",181
"Munos",181
"Fetvedt",181
"Varley",181
"Dayang",181
"Iisaka",181
"Chaudhuri",181
"Peroz",181
"Cronau",181
"Giaccio",181
"Uhrig",181
"Mayerwieser",181
"Vendrig",181
"Takanami",181
"Nooteboom",181
"Demri",181
"Kuzuoka",181
"Luit",181
"Chiodo",181
"Reinhart",181
"Broder",181
"Angel",181
"Szemeredi",181
"Trachtenberg",181
"Dengi",181
"Swist",181
"Gunderson",181
"Dalphin",181
"Kroft",181
"Dahlbom",181
"Waschkowski",181
"Schmittgen",181
"Ratnaker",181
"Cronan",181
"Atchley",181
"Flasterstein",181
"Schapiro",181
"Chelton",181
"Quittner",181
"Staudhammer",181
"Asmuth",181
"Yemenis",181
"Heusch",181
"Fasbender",180
"Christianini",180
"Vitiello",180
"Ligten",180
"Cincotta",180
"Zweizig",180
"Kalafatis",180
"Stellhorn",180
"Prochazka",180
"Bail",180
"Fabrizio",180
"Munck",180
"Erol",180
"Toyoshima",180
"Cronin",180
"Cooman",180
"Baalen",180
"Tsukune",180
"Zizka",180
"Chorvat",180
"Sullins",180
"Vakili",180
"Bahi",180
"Griswold",180
"Birrer",180
"DuBourdieux",180
"Mattern",180
"Covnot",180
"Ruther",180
"Beutelspacher",180
"Sidhu",180
"Fioravanti",180
"Sherertz",180
"Mondadori",180
"Bael",180
"Rissanen",180
"Makinen",180
"Kowalchuk",180
"Ballarin",180
"Erie",180
"Nitta",180
"Bennis",180
"Terkki",180
"McAffer",180
"Binding",180
"Winter",180
"Werthner",179
"Prenel",179
"Motley",179
"Roccetti",179
"Luga",179
"Farrag",179
"Krychniak",179
"Hebden",179
"Ramamoorthy",179
"Pepe",179
"Wilfing",179
"Hockney",179
"Rodiger",179
"Broomell",179
"Puppe",179
"Streng",179
"Gecseg",179
"Dymetman",179
"Hatcliff",179
"Kolinko",179
"Berztiss",179
"Trogemann",179
"Deverell",179
"Turnbull",179
"Foong",179
"Yurov",179
"Steinauer",179
"Bazelow",179
"Schneeberger",179
"Shokrollahi",179
"Pagter",179
"Birch",179
"Lupu",179
"Ulupinar",179
"Luon",179
"Lieblein",179
"Beilner",179
"Delgrange",179
"Klyachko",179
"Falco",179
"Negoita",179
"Marchesini",179
"Azulay",179
"Chiola",179
"Snyers",179
"Ozeri",179
"Ladret",179
"Katalagarianos",179
"McClure",179
"Ramsey",178
"Brickell",178
"Bakhtari",178
"Restivo",178
"Peres",178
"Kossowski",178
"Bernini",178
"Capobianchi",178
"Brlek",178
"Kermarrec",178
"Magliocco",178
"Bamford",178
"Detkin",178
"Levasseur",178
"Eastman",178
"Chenoweth",178
"Botman",178
"Ernst",178
"Felder",178
"Jarecki",178
"Solovay",178
"Chartres",178
"Figueira",178
"Samarati",178
"Rebaine",178
"Strooper",178
"Ginneken",178
"Binkley",178
"Benveniste",178
"Attimonelli",178
"Sinitsyn",178
"Falby",178
"Angot",178
"Demir",178
"Rathonyi",178
"Murtafg",178
"Tasistro",178
"Verspoor",178
"Casley",178
"Seuren",178
"Radwan",178
"Sewelson",178
"Improta",178
"Lagarias",178
"Thiria",177
"Peris",177
"Krupka",177
"Zhiwei",177
"Chinen",177
"Bardell",177
"Peral",177
"Matzke",177
"Cunliffe",177
"Nitsche",177
"Monkewich",177
"Templeman",177
"Peck",177
"Merlo",177
"Feldhoffer",177
"Zultner",177
"DiGiano",177
"Frezza",177
"Cairo",177
"Zeleznik",177
"Undy",177
"Czaja",177
"Angiulli",177
"Zeilberger",177
"Thorensen",177
"Trumbly",177
"Mullainathan",177
"Uchoa",177
"Perri",177
"Herath",177
"Jayawardene",177
"Pouyioutas",177
"Vandervoorde",177
"Kieras",177
"Aseltine",177
"Knightly",177
"Rando",177
"Nourani",177
"Anido",177
"DuCasse",177
"Magalhaes",177
"Caine",177
"Ruemmler",177
"Selenyi",176
"Kugler",176
"Gopalakrishnan",176
"Egerstedt",176
"Pleszkun",176
"Baca",176
"Danner",176
"Beerel",176
"Pardalos",176
"Baja",176
"Armand",176
"Luke",176
"Reinhard",176
"Heping",176
"Jording",176
"Halloran",176
"Ullian",176
"Lukaszewicz",176
"Sinicrope",176
"Demizu",176
"Picaronny",176
"Saoudi",176
"Rossi",176
"Menyhert",176
"Zwicker",176
"Miyakawa",176
"Greibach",176
"Loncour",176
"Sommer",176
"Schahn",176
"Hainaut",176
"Hasenauer",176
"Olivero",176
"Falck",176
"Lieberherr",176
"Coombs",176
"Chappelet",176
"Passafiume",176
"Cullers",176
"Kropatsch",175
"Krohn",175
"Edelhoff",175
"Beausoleil",175
"Cappello",175
"Lienhardt",175
"Vidya",175
"Sommen",175
"Sigstam",175
"Schurmann",175
"Barreiro",175
"Lunn",175
"Bergere",175
"Laurillard",175
"Cooley",175
"Schicker",175
"Skrikant",175
"Iisaku",175
"Tsunoo",175
"Porenta",175
"Flexer",175
"Molenaar",175
"Wissmann",175
"Chinal",175
"Vural",175
"Valiente",175
"Papastamatiou",175
"Engelmann",175
"Lores",175
"Vesna",175
"Roohalamini",175
"Coney",175
"Atrawala",175
"Murtagh",175
"Milicia",175
"Tanemo",175
"Demke",175
"Denny",175
"Kalsbeek",175
"Shinomoto",175
"Vidal",175
"Cyre",175
"Matteis",175
"Fendler",175
"Picci",175
"Alvarado",175
"Honiden",175
"Hennings",174
"Fiutem",174
"Gecsel",174
"Bage",174
"Cannane",174
"Eldridge",174
"Syrzycki",174
"Azuma",174
"Georg",174
"Itschner",174
"Sambasivam",174
"Tzvieli",174
"Schoegge",174
"Etalle",174
"Schauser",174
"Veldwijk",174
"Rubsam",174
"Varker",174
"Schlenzig",174
"Pintelas",174
"Fordan",174
"Douceur",174
"Schonegge",174
"Dolinsky",174
"Peha",174
"Showalter",174
"Angelov",174
"Oskamp",174
"Oxman",174
"Assaf",174
"Pettey",174
"Choobineh",174
"Potthoff",174
"Bernick",174
"Cannata",174
"Boissier",174
"Huhdanpaa",173
"Pena",173
"Comte",173
"Biron",173
"Range",173
"Quaggetto",173
"Tischendorf",173
"Biros",173
"Flanders",173
"Validov",173
"Lanteri",173
"Rusmann",173
"Clemencon",173
"Pietracaprina",173
"Kruskal",173
"Beidas",173
"Peternell",173
"Ambroszkiewicz",173
"Gimarc",173
"Zockler",173
"Berstel",173
"Bratsberg",173
"Deyuan",173
"Melter",173
"Masamoto",173
"Orlowska",173
"Denos",173
"Ranze",173
"Leonhardt",173
"Nitsch",173
"Gini",173
"Gadepally",173
"Marchegay",173
"Stafford",173
"Perna",173
"Basart",172
"Rotem",172
"McAlpine",172
"Ranka",172
"Heydon",172
"Whittlesey",172
"Beeson",172
"Vieri",172
"Vrecion",172
"Thibadeau",172
"Zielinski",172
"Pell",172
"Aingworth",172
"Syrotiuk",172
"Henseler",172
"Mersereau",172
"Muniz",172
"Nyrup",172
"Zaiane",172
"Portugali",172
"Halevi",172
"Perz",172
"Fandrianto",172
"Tokunaga",172
"Bade",172
"Morton",172
"Glowinski",172
"Kalefeld",172
"Thombley",172
"Janetzko",172
"Gide",172
"Heinisuo",172
"Rabejac",171
"Roison",171
"Plotkin",171
"Comyn",171
"Hutter",171
"Litzler",171
"Lodder",171
"Pauthner",171
"Navazio",171
"Kenevan",171
"Gubsky",171
"Rande",171
"Androutsos",171
"Rullman",171
"Nergos",171
"Isaak",171
"Kaiserswerth",171
"Frijda",171
"Mungall",171
"Kropf",171
"Serot",171
"Castellani",171
"Hashii",171
"Alencar",170
"Sanella",170
"Himler",170
"Setiz",170
"Falster",170
"Sessa",170
"Penn",170
"Keirsey",170
"Kinley",170
"Farrel",170
"Polajnar",170
"Marletta",170
"Piazza",170
"Staelin",170
"Lund",170
"Yetim",170
"Verhoeff",170
"Akiyama",170
"Hemaspaandra",170
"Sluis",170
"Spell",170
"Mateescu",170
"Fontet",170
"Harnett",170
"Limongiello",170
"Shobatake",170
"Schrooten",170
"Badache",170
"Glinert",169
"Ebeling",169
"Minakawa",169
"Condotta",169
"Yetto",169
"Kolvik",169
"Thisen",169
"Yavatkar",169
"Casperson",169
"Journel",169
"Yoshimura",169
"Janocha",169
"Badr",169
"Shackell",169
"Maginnis",169
"Ferriere",169
"Morris",169
"Lueh",169
"Conry",169
"Rijsenbrij",169
"Piancastelli",169
"Maccarone",169
"Wixon",169
"Junot",169
"Unni",169
"Arlazarov",168
"Bauknecht",168
"Kushnir",168
"Emmerich",168
"Lakshmanan",168
"Butterworth",168
"Gladwell",168
"Montresor",168
"Qiwen",168
"Perko",168
"Streit",168
"Theuretzbacher",168
"Wallrath",168
"Pargaonkar",168
"Yamaashi",168
"Sevcikova",168
"Gyorkos",168
"Grabner",168
"Puoti",168
"Lampe",168
"Jeong",168
"Gniady",168
"Wuwongse",167
"Simmel",167
"Collavizza",167
"Thambidurai",167
"Nicolson",167
"Lung",167
"Gire",167
"Schueller",167
"Brizzi",167
"Pesch",167
"Ramsak",167
"Oaver",167
"Gips",167
"Socorro",167
"Nations",167
"Serdy",167
"Benaini",167
"Fritzsche",167
"Cromarty",167
"Murthy",167
"Wiegley",167
"Burnard",167
"Luiz",166
"Erev",166
"Demeyer",166
"Rattan",166
"Perelgut",166
"Babb",166
"Cusworth",166
"Marwedel",166
"Stranks",166
"Erman",166
"McFarlan",166
"Narahari",166
"dAstous",166
"Pezzoli",166
"Coullard",166
"Murrill",166
"Teitelbaum",166
"Pileggi",166
"Kandlur",166
"Azevdeo",166
"Marsiglia",166
"Farrow",166
"Swiler",166
"Marciano",165
"Hempstead",165
"Brookman",165
"Jiafu",165
"Pappas",165
"Suwa",165
"Bugaenko",165
"Perin",165
"Delaune",165
"Ritzmann",165
"Stille",165
"Gischer",165
"Schnelling",165
"Andreotta",165
"Denis",165
"Cichocki",165
"Eppinger",165
"Homond",165
"Zschoche",165
"Plumb",165
"Lambe",165
"Pillow",165
"Barinka",165
"Benzaken",165
"Greenaway",165
"Blokdijk",165
"Reeker",164
"Macedo",164
"Moehrke",164
"Esteva",164
"Pero",164
"Sury",164
"Veccia",164
"Bresenham",164
"Hegner",164
"Gulla",164
"Soloway",164
"Wilharm",164
"Porotnikoff",164
"Hagimont",164
"Luks",164
"Ginesta",164
"Aloisi",164
"Kroha",163
"Sidje",163
"Usdin",163
"Guerreiro",163
"Slaats",163
"Dayana",163
"Skogmar",163
"Zhang",163
"Luef",163
"Karlin",163
"Kadhim",163
"Kragelund",163
"Waleschkowski",163
"Leijenhorst",163
"Niizuma",163
"Copas",163
"Oehlmann",163
"Zedlitz",163
"Georgakopoulos",163
"Matzel",163
"Pluym",163
"Bierbaum",163
"Velardi",163
"Kading",163
"Mamelak",162
"Zobel",162
"Stemann",162
"Merle",162
"Nittel",162
"Baik",162
"VanScheik",162
"Dalton",162
"Bisiani",162
"Couchot",162
"Mundy",162
"Rehfuss",162
"Baaleh",162
"Nivat",162
"Baig",162
"Erni",161
"Breugel",161
"Standera",161
"Slutz",161
"Litzkow",161
"Lorie",161
"Tempesti",161
"Levergood",161
"Anguita",161
"Aumann",161
"Swab",161
"Kopetz",161
"Marzano",160
"Nilsson",160
"Jansch",160
"Pellegrinelli",160
"Schmezko",160
"Ramras",160
"Zastre",160
"Calkin",160
"Bharadwaj",160
"Ananiadou",160
"Baranowski",160
"Wielonsky",160
"Tibblin",160
"Raoux",160
"Lyonns",160
"Kroon",160
"Schnabel",160
"Munro",160
"Heijenga",160
"Nitto",159
"Vadhan",159
"Hmelo",159
"Mitsuhashi",159
"Pearson",159
"Miculan",159
"Ramalingam",159
"Stiles",159
"Schrift",159
"Krider",158
"Lemarechal",158
"Koprowski",158
"Giarratana",158
"Hennebert",158
"Benner",158
"Carrera",158
"Seiwald",157
"Leppanen",157
"Ozery",156
"Bernardinello",156
"Mandelberg",156
"Serov",156
"Vieth",156
"Erva",156
"Polupanov",156
"Terwilliger",156
"Ritcey",156
"Dechter",156
"Hopewell",155
"Rosti",155
"Axelband",155
"Baumann",155
"Ravishankar",155
"Suessmith",155
"Prampolini",153
"Ranst",153
"Kabayashi",153
"Shigei",153
"Sabnani",152
"Thorelli",152
"Genin",152
"Schwartzbauer",151
"Provine",151
"Nollmann",151
"Zambonelli",151
